58002B	651.9147911	3837.514664	34.2535	260.6268	223.9179	119.9062
59001A	555.5403196	2943.486688	32.8775	270.9217	276.973	66.6527
59001B	557.3656733	3330.735662	32.9011	355.2184	61.894	313.9988
58002A	657.9557602	4225.560214	34.2669	17.904	357.6625	1.5573
59007A	510.117307	3268.694341	33.3481	240.7573	210.9459	138.1412
59009A	486.4058898	683.2548524	50.2858	8.9781	349.9261	9.886
60002B	631.5776844	665.9075381	48.379	239.7837	304.3447	55.5154
60007A	593.8388564	962.6810827	66.6956	33.039	197.2578	161.9642
60007B	579.3441945	874.6593298	66.6893	113.4876	23.5779	337.4686
60007C	587.2408163	913.7501462	66.6657	199.8578	188.4657	171.2558
60009B	1503.139831	1683.44569	47.2304	162.3056	26.4101	334.2396
60009C	1516.909168	1685.682445	47.2151	19.038	231.5282	127.598
60009E	1527.662191	1684.169294	47.2757	281.416	164.0135	196.3781
60013A	966.739861	1213.076277	28.328	322.0278	75.8319	286.0491
60013B	924.7666273	1206.174475	28.2483	135.0574	203.3128	155.8748
61004B	636.0420379	2502.517967	38.8571	11.5018	64.2312	307.479
61004C	552.9891886	1114.187793	38.7744	281.5892	26.6526	335.3665
61013A	470.9864054	1266.069664	28.7859	158.4554	116.1978	249.6042
60002D	595.9739124	644.5769353	48.1662	282.4815	212.2878	147.5908
61015A	862.1731555	980.0420648	66.8095	63.6079	230.3124	129.0817
61015B	866.3018276	989.2610515	66.8125	153.4705	248.3416	110.8685
61015C	822.4353121	951.1851853	66.7662	11.9472	236.7905	122.4661
61015D	732.9320198	894.0981882	66.7275	274.4223	278.3526	80.4878
61015E	722.7564699	890.5831723	66.7087	352.7001	15.3979	345.062
61015F	821.3776245	965.6958138	66.7492	331.4428	307.5167	51.6927
61015G	617.4664208	710.7716814	66.7526	17.9353	58.2205	302.5343
61015H	679.8300416	854.9912085	66.6847	148.5499	310.4517	48.5946
61015J	739.155215	839.9352012	66.5426	285.7489	57.6267	303.1608
61015K	824.1953334	923.3897026	66.8749	258.1343	110.1451	250.7011
61015L	717.4376917	824.0584093	66.713	166.1114	311.7552	47.7189
61015M	713.5015229	811.5868944	66.8328	14.9675	157.6376	202.7748
61015N	816.0082814	960.8661607	66.6752	153.0143	228.604	130.6444
61015Q	829.7660248	964.2239371	66.7713	163.9578	247.4609	111.6673
61015R	831.4542369	949.0194212	66.7355	53.2522	5.8773	354.3239
61015S	862.1392658	962.2496743	66.6594	221.3831	60.6309	300.1604
61015T	790.9566175	871.0080409	67.115	280.3839	13.006	347.2451
61015U	841.7730006	965.3865552	66.8786	262.399	209.8659	149.7566
61015W	738.338423	821.0498735	67.5304	53.0586	252.4999	106.9788
61015Y	859.9576415	914.5633394	67.1547	299.8384	314.1601	45.6398
61015AB	895.6403072	982.1685556	66.5882	227.517	221.1122	138.5491
61015AE	901.0087922	953.8064341	66.4988	275.5789	129.3985	231.03
